;Os resultados apresentados são PROJEÇÕES, datas e valores podem vir sofrer alterações - Contêm informações confidenciais, destinadas exclusivamente ao uso da Vitacon Participações S.A. e seus parceiros de negócios. O uso, divulgação, distribuição ou reprodução não autorizados são estritamente proibidos.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tabela:;14/04/2026;;;;;Benefícios;;;Patrimonial / desc Fluxo;;;;;;;;
;Imagem;;Propriedade:;Vitacon Venâncio 943;;Previsão de Lançamento;dez-26;Previsão inicio do fluxo;mar-27;;;;;;;PROJETO;Vitacon Venâncio 943;;ENTRADA;12.614;;nº;Apurações;Meses vendidos;;%vendido;%distribuidos;;Aporte;ultimo mês;31/01/2027;;Cenários;;;Cenário;Ticket mínino;Aporte; 1.000.000 ;;cenário ticket;Empreendimento;Preço Mercado;Preço investidor Casa;modalidade; Ticket Mínimo ;Estimativa saída;Renda;Termino;Condição aporte;taxa;Padrão;Especial;Benefícios renda;Benefícios desconto;Lançamento;;;;
;;;Inicio da vigência;14/04/2026;;;;Previsão de Entrega;dez-29;;;;;;;data lçto>>>;31/12/2026;;SAÍDA; 20.000 ;;1;31/03/2027;3;3;22%;8,7%;;Antecipação;ultimo mês;30/04/2027;;Preço; 12.614 ;; 1 ; 200.000 ;Cenário aporte;2;;P1;Vitacon Venâncio 943;14.280;14.280;Patrimonial; 428.400,00 ;20.000;1%;aprovação do projeto;á vista;4,0%;4,0%;na;sim;não;01/12/2026;;;;
;;;;;;;;;;Tabela Padrão - Desconto de 15,2%;;;;;;entrega>>>;31/12/2029;;;;;2;30/06/2027;6;3;36%;0,6%;;Previsão de Lançamento;;31/12/2026;;modalidade; 500.000 ;; 2 ; 500.000 ;Investidor da casa:;sim;;1;Vitacon Venâncio 943;12.614;12.614;Fluxo SPE; 200.000,00 ;20.000;0,8%;aprovação do projeto;á vista;15,2%;15,2%;na;sim;não;01/12/2026;;;;
;VGV Comprado; 1.000.000 ;*Comissão;6,2%;;R$/m² venda bruta; 20.000 ;Ganho; 523.113 ;Ganho; 523.113 ;;;;;meses:; 36 ;;Cenário aporte;2;;3;30/09/2027;9;3;49%;0,3%;;Previsão de Entrega;;31/12/2029;;Saída estimada; 20.000 ;;;;Investidor da casa:;não;;2;Vitacon Venâncio 943;12.614;12.614;Fluxo SPE; 500.000,00 ;20.000;1,0%;aprovação do projeto;á vista;15,2%;15,2%;na;sim;não;01/12/2026;;;;
;Área(m²); 79,28 ;*RET;4,0%;;R$/m² venda líquida*; 17.072 ;Ganho c/ antecipação; 563.113 ;Ganho c/ antecipação; 563.113 ;;;;;Check;0;; Renda ;1,0%;;4;31/12/2027;12;3;55%;1,4%;;;Atual;padrão;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Antecipação;1,0%;*MKT + Gestão;5,0%;;R$/m² saída bruta; 22.508 ;ROI;52,3%;ROI;52,3%;;;;;;36;;Parcela;1;;5;30/06/2028;18;6;78%;1,0%;;Cenário;15,2%;15,2%;;Patrimonial;1;;;;;;;;;;;;;;;;;;;;;;;;;;
;Parcelas; 1 ;Correção INCC;6,0%;;R$/m² saída líquida*; 19.213 ;ROI c/ antecipação;56,3%;ROI c/ antecipação;56,3%;;;;;tabela;abr-26;;Término;4,066666667;;6;31/12/2028;24;6;85%;1,0%;;*Comissão;6,2%;6,2%;;Padrão;15,2%;;;;;;;;;;;;;;;;;;;;;;;;;;
;Prazo de entrega; 36 ;R$/m² compra; 12.614 ;;TIR / IRR;15,8%;TIR / IRR c/ antecipação;17,4%;TIR / IRR c/ antecipação;17,4%;;;;;Fluxo;31/03/2027;;Aporte;31/05/2026;;7;30/11/2029;35;11;99%;0,5%;;*RET;4,0%;4,0%;;Especial;na;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;2 meses antes ;4,066666667;;8;31/12/2029;36;1;99%;5,2%;; *MKT + Gestão ;5,0%;5,0%;;Taxa;15,2%;;;;;;;;;;;;;;;;;;;;;;;;;;
;Período;Descrição;Previsão de fluxo;Venda Bruta;Venda Líquida*;INCC acumulado;Venda Bruta Corrigida;Venda Líquida Corrigida;(=) Movimento;Venda Líq. Corrigida Padrão;(=) Movimento Padrão;;;;;;;;;;;;;Distribuição recebimento;;;;;Correção INCC;6,0%;6,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(=);(=);Totalizador;100%;1.585.540;1.353.385;;1.784.382;1.523.113;563.113;1.523.113;563.113;523.113;;;;;;;;;;;;40%;10%;50%;100%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
na;jun-26;Aporte;na; -   ; -   ;0,0%;0;0;(1.000.000);0;(1.000.000);(1.000.000);;;;;;;preíodo;mês;Curva de vendas;Vendas acumulada; vendas estimada;ATO;PARCELAS;FINANCIAMENTO;Curva repasse;Distribuição fluxo acumulado;Distribuição fluxo mês;Simulador vendas;Var.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
na;jul-26;Antecipação;na; -   ; -   ;0,0%;0;0;10.000;0;10.000;0;;;;;;;1;31/03/2027;22,0%;22,0%;22,0%;40%;0,3%;;40,3%;8,9%;8,7%;8,7%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
na;ago-26;Antecipação;na; -   ; -   ;0,0%;0;0;10.000;0;10.000;0;;;;;;;2;30/04/2027;6,0%;28,0%;6,0%;40%;0,3%;;40,3%;11,3%;2,7%;2,7%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
na;set-26;Antecipação;na; -   ; -   ;0,0%;0;0;10.000;0;10.000;0;;;;;;;3;31/05/2027;5,0%;33,0%;5,0%;40%;0,3%;;40,3%;13,3%;1,1%;1,1%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
na;out-26;Antecipação;na; -   ; -   ;0,0%;0;0;10.000;0;10.000;0;;;;;;;4;30/06/2027;3,0%;36,0%;3,0%;40%;0,3%;;40,3%;14,5%;0,6%;0,6%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
na;nov-26;na;na; -   ; -   ;0,0%;0;0;0;0;0;0;;;;;;;5;31/07/2027;6,0%;42,0%;6,0%;40%;0,3%;;40,3%;16,9%;0,6%;0,6%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Previsão de Lançamento;dez-26;;na; -   ; -   ;0,0%;0;0;0;0;0;0;;;;;;;6;31/08/2027;4,5%;46,5%;4,5%;40%;0,3%;;40,3%;18,8%;0,2%;0,2%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;jan-27;;na; -   ; -   ;0,0%;0;0;0;0;0;0;;;;;;;7;30/09/2027;2,0%;48,5%;2,0%;40%;0,3%;;40,3%;19,6%;0,3%;0,3%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;fev-27;;na; -   ; -   ;0,0%;0;0;0;0;0;0;;;;;;;8;31/10/2027;2,0%;50,5%;2,0%;40%;0,4%;;40,4%;20,4%;0,2%;0,2%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;mar-27;Fluxo;9%; 137.594 ; 117.447 ;0,0%;137.594;117.447;117.447;117.447;117.447;117.447;;;;;;;9;30/11/2027;2,5%;53,0%;2,5%;40%;0,4%;;40,4%;21,4%;0,2%;0,2%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;abr-27;Fluxo;3%; 43.148 ; 36.830 ;0,5%;43.358;37.009;37.009;37.009;37.009;37.009;;;;;;;10;31/12/2027;2,0%;55,0%;2,0%;40%;0,4%;;40,4%;22,2%;1,4%;1,4%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;mai-27;Fluxo;1%; 17.978 ; 15.346 ;1,0%;18.153;15.495;15.495;15.495;15.495;15.495;;;;;;;11;31/01/2028;2,0%;57,0%;2,0%;40%;0,4%;;40,4%;23,0%;0,3%;0,3%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;jun-27;Fluxo;1%; 9.588 ; 8.184 ;1,5%;9.728;8.304;8.304;8.304;8.304;8.304;;;;;;;12;29/02/2028;2,0%;59,0%;2,0%;40%;0,4%;;40,4%;23,8%;1,0%;1,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;jul-27;Fluxo;1%; 9.588 ; 8.184 ;1,9%;9.775;8.344;8.344;8.344;8.344;8.344;;;;;;;13;31/03/2028;15,0%;74,0%;15,0%;40%;0,4%;;40,4%;29,9%;1,0%;1,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;ago-27;Fluxo;0%; 3.541 ; 3.023 ;2,4%;3.627;3.096;3.096;3.096;3.096;3.096;;;;;;;14;30/04/2028;2,0%;76,0%;2,0%;40%;0,5%;;40,5%;30,7%;1,0%;1,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;set-27;Fluxo;0%; 4.169 ; 3.558 ;2,9%;4.290;3.662;3.662;3.662;3.662;3.662;;;;;;;15;31/05/2028;1,0%;77,0%;1,0%;40%;0,5%;;40,5%;31,2%;1,0%;1,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;out-27;Fluxo;0%; 3.525 ; 3.008 ;3,4%;3.645;3.111;3.111;3.111;3.111;3.111;;;;;;;16;30/06/2028;1,0%;78,0%;1,0%;40%;0,5%;;40,5%;31,6%;1,0%;1,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;nov-27;Fluxo;0%; 3.394 ; 2.897 ;3,9%;3.527;3.010;3.010;3.010;3.010;3.010;;;;;;;17;31/07/2028;2,0%;80,0%;2,0%;40%;0,5%;;40,5%;32,4%;1,0%;1,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;dez-27;Fluxo;1%; 21.444 ; 18.304 ;4,4%;22.383;19.106;19.106;19.106;19.106;19.106;;;;;;;18;31/08/2028;1,0%;81,0%;1,0%;40%;0,6%;;40,6%;32,9%;0,2%;0,2%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;jan-28;Fluxo;0%; 5.275 ; 4.502 ;4,9%;5.531;4.721;4.721;4.721;4.721;4.721;;;;;;;19;30/09/2028;1,0%;82,0%;1,0%;40%;0,6%;;40,6%;33,3%;0,2%;0,2%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;fev-28;Fluxo;1%; 15.272 ; 13.036 ;5,4%;16.090;13.734;13.734;13.734;13.734;13.734;;;;;;;20;31/10/2028;1,0%;83,0%;1,0%;40%;0,6%;;40,6%;33,7%;5,8%;5,8%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;mar-28;Fluxo;1%; 15.272 ; 13.036 ;5,8%;16.164;13.798;13.798;13.798;13.798;13.798;;;;;;;21;30/11/2028;1,0%;84,0%;1,0%;40%;0,7%;;40,7%;34,2%;0,7%;0,7%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;abr-28;Fluxo;1%; 15.272 ; 13.036 ;6,3%;16.239;13.861;13.861;13.861;13.861;13.861;;;;;;;22;31/12/2028;1,0%;85,0%;1,0%;40%;0,7%;;40,7%;34,6%;1,0%;1,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;mai-28;Fluxo;1%; 15.272 ; 13.036 ;6,8%;16.313;13.925;13.925;13.925;13.925;13.925;;;;;;;23;31/01/2029;1,0%;86,0%;1,0%;40%;0,8%;;40,8%;35,1%;0,8%;0,8%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;jun-28;Fluxo;1%; 15.272 ; 13.036 ;7,3%;16.387;13.988;13.988;13.988;13.988;13.988;;;;;;;24;28/02/2029;1,0%;87,0%;1,0%;40%;0,8%;;40,8%;35,5%;0,7%;0,7%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;jul-28;Fluxo;1%; 15.272 ; 13.036 ;7,8%;16.462;14.051;14.051;14.051;14.051;14.051;;;;;;;25;31/03/2029;10,0%;97,0%;10,0%;40%;0,9%;;40,9%;39,7%;0,6%;0,6%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;ago-28;Fluxo;0%; 3.531 ; 3.014 ;8,3%;3.824;3.264;3.264;3.264;3.264;3.264;;;;;;;26;30/04/2029;0,5%;97,5%;0,5%;40%;1,0%;;41,0%;40,0%;1,1%;1,1%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;set-28;Fluxo;0%; 2.746 ; 2.344 ;8,8%;2.987;2.550;2.550;2.550;2.550;2.550;;;;;;;27;31/05/2029;0,5%;98,0%;0,5%;40%;1,1%;;41,1%;40,3%;0,6%;0,6%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;out-28;Fluxo;6%; 92.179 ; 78.682 ;9,2%;100.704;85.959;85.959;85.959;85.959;85.959;;;;;;;28;30/06/2029;0,5%;98,5%;0,5%;40%;1,3%;;41,3%;40,6%;0,9%;0,9%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;nov-28;Fluxo;1%; 11.468 ; 9.789 ;9,7%;12.585;10.742;10.742;10.742;10.742;10.742;;;;;;;29;31/07/2029;0,1%;98,6%;0,1%;40%;1,4%;;41,4%;40,8%;0,8%;0,8%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;dez-28;Fluxo;1%; 16.086 ; 13.731 ;10,2%;17.731;15.135;15.135;15.135;15.135;15.135;;;;;;;30;31/08/2029;0,1%;98,7%;0,1%;40%;1,7%;;41,7%;41,1%;0,6%;0,6%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;jan-29;Fluxo;1%; 12.077 ; 10.308 ;10,7%;13.370;11.412;11.412;11.412;11.412;11.412;;;;;;;31;30/09/2029;0,1%;98,8%;0,1%;40%;2,0%;;42,0%;41,5%;0,5%;0,5%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;fev-29;Fluxo;1%; 10.567 ; 9.020 ;11,2%;11.750;10.030;10.030;10.030;10.030;10.030;;;;;;;32;31/10/2029;0,1%;98,9%;0,1%;40%;2,5%;;42,5%;42,0%;1,0%;1,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;mar-29;Fluxo;1%; 10.113 ; 8.632 ;11,7%;11.295;9.641;9.641;9.641;9.641;9.641;;;;;;;33;30/11/2029;0,1%;99,0%;0,1%;40%;3,3%;;43,3%;42,9%;0,5%;0,5%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;abr-29;Fluxo;1%; 17.532 ; 14.965 ;12,2%;19.665;16.786;16.786;16.786;16.786;16.786;;;;;;;34;31/12/2029;0,0%;99,0%;0,0%;40%;5,0%;;45,0%;44,6%;5,2%;5,2%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;mai-29;Fluxo;1%; 9.090 ; 7.759 ;12,7%;10.240;8.741;8.741;8.741;8.741;8.741;;;;;;;35;31/01/2030;0,0%;99,0%;0,0%;40%;10,0%;50%;100,0%;99,0%;56,6%;56,6%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;jun-29;Fluxo;1%; 14.797 ; 12.630 ;13,1%;16.741;14.290;14.290;14.290;14.290;14.290;;;;;;;36;28/02/2030;1,0%;100,00%;1,0%;100%;;0%;100,0%;100,0%;0,1%;0,1%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;jul-29;Fluxo;1%; 12.296 ; 10.496 ;13,6%;13.972;11.926;11.926;11.926;11.926;11.926;;;;;;;;;;0,0000%;100,00%;;;;;;100,000%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;ago-29;Fluxo;1%; 9.130 ; 7.793 ;14,1%;10.419;8.893;8.893;8.893;8.893;8.893;;;;;;;;;;;;;;;;;0,000%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;set-29;Fluxo;1%; 8.167 ; 6.971 ;14,6%;9.359;7.989;7.989;7.989;7.989;7.989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;out-29;Fluxo;1%; 16.401 ; 14.000 ;15,1%;18.876;16.112;16.112;16.112;16.112;16.112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;nov-29;Fluxo;1%; 8.262 ; 7.053 ;15,6%;9.549;8.151;8.151;8.151;8.151;8.151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;dez-29;Fluxo;5%; 82.077 ; 70.059 ;16,1%;95.261;81.313;81.313;81.313;81.313;81.313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;jan-30;Fluxo;57%; 897.097 ; 765.744 ;16,5%;1.045.564;892.473;892.473;892.473;892.473;892.473;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;fev-30;Fluxo;0%; 1.044 ; 891 ;17,0%;1.222;1.043;1.043;1.043;1.043;1.043;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;mar-30;;na; -   ; -   ;0,0%;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
